#_,_
button.back,Geri
multiplayer.columnname,İsim
multiplayer.columnbanned,Engellenmiş
multiplayer.columnplayers,Oyuncular
gameoptions.creategame,Oyun oluştur
gameoptions.startgame,Oyunu başlat
gameoptions.joingame,Oyuna katıl
button.rules,Kurallar
settings.gen.title,Genel
settings.video.title,Video
settings.audio.title,Ses
settings.pc.windowed,Pencere Modu
settings.pc.vsync,Dikey Senkronizasyon
settings.video.quality,Kalite
settings.audio.musicvolume,Müzik sesi
settings.audio.effectsvolume,Efekt sesi
settings.languages,Diller
settings.eula,Eula
solooptions.singleplayer,Challenges
solooptions.play,Tek Oyunculu Oyun
multiplayer.passandplay,Geç ve Oynat
appirater.header,Uygulamayı oyla
appirater.body,Oyundan zevk alıyor musunuz? Lütfen bir dakikanızı ayırın.
appirater.ratebutton,Uygulamayı oyla
appirater.remindbutton,Bana daha sonra hatırlat
appirater.rejectbutton,Hayır teşekkürler
playonline.confirmresign,Bu oyundan çekilmek istediğinize emin misiniz?
settings.pc.confirmation.body,Bu ekran ayarlarını saklamak ister misiniz? {0} saniyelerde önceki ayarlara geri dönme.
friends.category.invites,Davetler
friends.category.online,Çevrimiçi
friends.category.offline,Çevrimdışı
friends.category.count.label,({0})
store.restorepurchaseserror.default,
dialogmessages.resetpassword.info,Daha ayrıntılı talimatlar için e-posta kontrol edin.
lobby.timerdisplay.hoursformat,{0} h
lobby.timerdisplay.minsformat,{0} m
lobby.timerdisplay.daysformat,{0} d
playonline.cpuplayer.label,AI
playonline.waitingplayer.label,<Color =#858585>Oyuncu Bekleniyor</or Color>
playonline.joinedplayer.label,<Color =#ffff00>{0}</color>
playonline.availablegames.game,{0} 'ın Oyunu
waitingforplayers.timer.label,Tur Süre Sınırı: {0}
waitingforplayers.aidifficulty.label,AI Zorluk: {0}
gameoptions.aidifficultyeasy,Kolay
gameoptions.aidifficultymedium,Orta
gameoptions.aidifficultyhard,Zor
waitingforplayers.invalideplayerstate,Bir hata oluştu. Lütfen tekrar deneyin.
dialogmessages.lobbyended.message,Görüntülediğiniz lobi artık mevcut değil.
playsolo.match.startfailure,Oyun yükleyenemedi.
prompts.gameresults.title,Oyun sonu
dialogmessages.feedback.success,Geri bildirim için teşekkürler.
prompttitles.generic.success,Başarılı
singleplayer.difficulty.label,Zorluk: {0}
singleplayer.difficulty.easy,Normal
singleplayer.difficulty.medium,Kahramanca
singleplayer.difficulty.hard,
quitapplication.confirm.message,Çıkmak istediğinden emin misin?
login.loggedinas,Oturum açıldı: {0}
friends.invitationsent,Davet gönderildi!
friends.areyousure,Emin misin?
dialogmessages.invitefriend.success,Davet gönderildi!
login.error.invalidemail,Hata: Geçersiz e -posta
login.error.invalidusername,Hata: Geçersiz Kullanıcı Adı
login.error.invalidpassword,Hata: Parola en az 6 karakter olmalı ve hem harfler hem de sayılar içermelidir.
login.error.passwordmismatch,Hata: Parolalar eşleşmiyor
prompts.loginfailure.nocredentials,
prompts.loginfailure.eulanotaccepted,Lütfen giriş yapmak için EULA'yı kabul edin.
dialogmessages.login.errors.upgradeclient,"Oturum açılamıyor, lütfen müşterinizin güncel olduğundan emin olun"
dialogmessages.login.errors.couldnotconnect,"Yetkilendirme sunucusuna bağlanamadım, lütfen daha sonra tekrar deneyin."
dialogmessages.login.errors.gatewaydown,Gateway'e bağlanamadı.
dialogmessages.login.errors.ipbanned,Bu IP'den bağlanamadı.
dialogmessages.login.errors.maintenance,"Bağlanamadı, sunucu bakım içindedir."
dialogmessages.login.errors.serverfull,"Bağlanamadı, sunucular şu anda dolu."
network.checkconnection,Ağ bağlantınızı kontrol edin.
dialogmessages.login.errors.default,Şu anda giriş yapamadı.
dialogmessages.registration.thanksnewaccount,Kayıt olduğunuz için teşekkürler!
dialogmessages.registration.toomanyrequests,"Çok fazla istek, lütfen 15 dakika içinde tekrar deneyin."
dialogmessages.registration.authunavailable,"Yetkilendirme sunucusuna bağlanamadım, lütfen daha sonra tekrar deneyin."
dialogmessages.registration.failure,Hesap oluşturulamadı:
{0},
code.redeem.equip.immediate,
dialogmessages.continuegame.playeractivationfailure,
match.start.failure,Oyun yüklenemedi
multiplayer.matchremoved,Bu oyun artık mevcut değil.
multiplayer.matchresigned.2,{0} ile oyundan çekildiniz.
multiplayer.matchresigned.3,{0} ve {1} ile oyundan çekildiniz.
multiplayer.matchresigned.4,"{0}, {1} ve {2} ile oyundan çekildiniz."
multiplayer.matchresigned.5,"{0}, {1}, {2} ve {3} ile oyundan çekildiniz."
multiplayer.matchresigned.6,"{0}, {1}, {2}, {3} ve {4} ile oyundan çekildiniz."
dialogmessages.resignfromgame.failure,Oyundan çekilme işlemi başarılı değil. Ağ bağlantınızı kontrol edin.
rankedselect.errors.connectfailed,Bağlantınız zaman aşımına uğradı. Lütfen internet bağlantınızı kontrol edin ve tekrar deneyin.
dialogmessages.feedback.timeout,Geri bildiriminizi gönderimde bir hata vardı.
dialogmessages.leaderboard.failure,Şu anda Scoreboard yüklenemedi.
dialogmessages.addfriend.accountnotfound,Arkadaş Davetiyesi Gönderme Hatası: Hesap bulunamadı.
dialogmessages.addfriend.invitefailure,Arkadaş davetiyesi gönderme hatası.
dialogmessages.acceptfriend.failure,Arkadaş davetini kabul etme hatası.
dialogmessages.cancelfriendrequest.failure,Arkadaşlık isteğini iptal etme hatası.
dialogmessages.removefriend.failure,Arkadaşı kaldırma hatası.
dialogmessages.invitefriend.failure,"Davet gönderilemedi, lütfen daha sonra tekrar deneyin."
disconnect.timeout,Bağlantı zaman aşımına uğradı
disconnect.idletimeout,Hareketsizlik nedeniyle bağlantınız kesildi. 3 tur boyunca bağlanamayan oyuncu kaldırılacak ve bir AI ile değiştirilecektir.
dialogmessages.changepassword.success,Şifreniz başarıyla değiştirdi.
dialogmessages.passwordpolicy,"Şifreniz en az 6 karakter olmalı, büyük harfle yazılmış  olmalı ve hem harf hem de sayılar içermelidir."
dialogmessages.login.errors.invalidlogin,Geçersiz e-posta veya şifre.
dialogmessages.continuegame.failure,Oyuna bağlanılamadı. Hata: {0}
disconnect.defaultreason,Sunucu bağlantısına ulaşılamadı
challenges.startgame,Oyuna başla
addfriend.addplayername,Oyuncu adı veya Email
button.accept,Kabul et
button.invite,Davet et
online.lobbypassword.enter,Lobi şifresini girin
button.exit,Çıkış
settings.audio.mute,Sesi kapat
header.campaign,Kampanya
game.over.prompt.confirm,Oyundan ayrıl
settings.pc.graphics.high,Yüksek
settings.pc.graphics.medium,Orta
settings.pc.graphics.low,Düşük
account.error.usernametaken,Bu Hesap Zaten Mevcut
mainmenu.friends,Arkadaşlar
settings.title,Ayarlar
friends.invite,Davet et
friends.removefriend,Arkadaşı Kaldır
friends.game.invite.accept,Kabul
friends.game.invite.decline,Reddet
friends.cancelrequest,İptal
button.next,Sonraki
landing.grm,Açık Dire Wolf Oyun Odası Uygulaması
settings.clientversion,Müşteri Sürümü:
settings.serverversion,Sunucu Sürümü:
button.saveandquit,Kaydet ve Çık
settings.resign,Çekil
landing.achievements.gc,Başarılar
button.mainmenu,Ana Menü
button.replay,Yeniden Oyna
button.resign,Çekil
lobby.resign.confirmation,Bu oyundan çekilmek istediğinizden emin misiniz?
player.unsetperson,Oyuncu Bekliyor ...
player.localperson,Sen
button.skip,Geç
dialogmessages.registration.nointernet,İnternet erişimi yok
playonline.error.wrongpassword,Şifre doğru değil
playonline.error.waitingoncasual,Zaten başlamak için başka bir eşzamanlı oyun bekliyorsunuz.
playonline.error.cannotcreatelivegame,Zaten başka bir canlı oyun lobisinde bekliyorsunuz.
playonline.error.cannotcreateasyncgame,Zaten başka bir eşzamanlı oyun lobisinde bekliyorsunuz.
block.player,Block Player
multiplayer.blockplayer,{0} bloke etmek mesajlarını gizler. Bu eylem geri alınamaz.
multiplayer.reportplayer,{0} engellendi. Bu oyuncuyu bildirmek ister misiniz?
multiplayer.reportplayer.describe,Lütfen neden {0} raporladığınızı açıklayın.
multiplayer.reportplayer.reason.abusive,Kötü niyetli veya uygunsuz sohbet mesajları
multiplayer.reportplayer.reason.inappropriateusername,Uygunsuz Kullanıcı Adı
multiplayer.reportplayer.reason.griefing,Rahatsız edici veya kasıtlı yavaş oyun
multiplayer.reportplayer.reason.cheating,Şüpheli hile veya botlama
name.ai.easy,AI (kolay)
name.ai.medium,AI (Orta)
name.ai.hard,AI (Zor)
button.createfriendgame,Arkadaş Oyunu Oluştur
playonline.yourturn,Senin sıran
multiplayer.yourturn.2,Oyun sırası sizde!
mainmenu.friendgame,Arkadaş oyunu
button.invitefriend,Arkadaşını davet et
player.defaultname,Oyuncu
button.decline,Reddetmek
button.minimize,Küçültmek
button.expand,Genişletmek
multiplayer.matchchat,Oyun sohbeti
multiplayer.variants,Seçenek
prompt.unitdetails.title.monster,Canavar durumu
prompt.unitdetails.title.player,Oyuncu durumu
prompt.unitdetails.subheader,Uygulanan Kartlar
trade.empty.player,"Kartınızı buraya sürükleyin. <br> Boş bırakılırsa, eşyalarınızdan hiçbir şey sunulmayacaktır."
trade.empty.partner,"Kartınızı buraya sürükleyin. <br> Boş bırakılırsa, eşyalarından hiçbir şey sunulmayacaktır."
trade.theyget,Onun Verdiği
trade.iget,Senin Alacağın
sell.wontlevel,Level 10'a ulaşılacağından eşya satamazsınız.
sell.youritems,Eşyalarınız
sell.tosell,Satılacak eşyalar
sell.empty,itemlerinizi buraya sürükleyin.<br><br>Sattığınız her {0} altına 1 level atlayabilirsin.
kin.level,Level
prompt.inventory.offertrade,Takas Teklifi
prompt.inventory.sellforlevel,Level için sat
playmat.battle.askforhelp,Yardım isteyin
playmat.battle.runaway,Kaç!
playmat.battle.failed,Başarısız!
playmat.battle.success,Başarılı!
prompt.avatarselection,Avatar seçimi
prompt.showowned,Sahip olunanları göster
prompt.sort,Sıralama
card.type.class,Sınıf
card.type.race,Irk
card.type.item,Item
card.type.item.big,Item - Büyük
card.type.item.oneshot,Item - Tek Kullanım
card.type.curse,LANET!
card.type.special,Özel
card.type.monster,Canavar
card.type.monster.undead,Canavar - Ölümsüz
card.type.monsterenhancer,Canavar Güçlendirici
playmat.battle.win,Saldır!
player.name.self,Sen
playonline.offplayer.label,Kapalı
login.newaccount,Yeni hesap
playonline.humanplayer.label,Açık
character.race.norace,Irk Yok
character.race.human,İnsan
character.race.dwarf,Cüce
character.race.elf,Elf
character.race.halfling,Hobbit
character.class.noclass,Sınıf Yok
character.class.none,Sınıf Yok
character.class.cleric,Din adamı
character.class.thief,Hırsız
character.class.warrior,Savaşçı
character.class.wizard,Büyücü
button.emote,İfade
placement.1st,Birinci
placement.2nd,İkinci
placement.3rd,Üçüncü
placement.4th,Dördüncü
placement.5th,Beşinci
placement.6th,Altıncı
button.done,Tamamlandı
gen.one,Bir
gen.two,İki
gen.three,Üç
prompt.inventory.configure,Değiştir
equip.armor,Zırh
equip.headgear,Başlık
equip.footgear,Ayakkabı
equip.onehand,Tek elli
equip.twohand,İki elli
equip.twohandbig,İki elli Büyük
equip.oneshot,Tek Kullanım
prompt.tradeoffer.togive,Itemlar için
prompt.tradeoffer.toreceive,{0} Teklifler
prompt.tradeoffer.header,Takas Teklifi
prompt.tradecomplete.accepted,Takas Kabul Edildi
prompt.tradecomplete.rejected,Takas reddedildi
sell.noitemstosell,Satacak itemınız yok
deck.door,Kapı
deck.treasure,Hazine
sex.male,Erkek
sex.female,Dişi
prompt.inventory.equipped,Üzerinizdekiler
prompt.inventory.carried,Çantanızdakiler
prompt.inventory.inhand,Elinizdekiler
prompt.inventory.raceclass,Irk / Sınıf
button.block,Block
prompt.unequip.header,Itemlarınızı Seçin
prompt.replaceclass.header,Sınıfını Değiştir
prompt.replacerace.header,Irkını Değiştir
prompt.lootthebody.header,Eşyaları yağmalayın
prompt.played,Oynanan
prompt.readylivegame,Canlı oyunun hazır. Tur süreleri kısa olduğu için oyuna girmelisiniz veya çekilmelisiniz.
prompt.discard.header,Iskartaya çıkart
dragtarget.drophere,Buraya bırak
dragtarget.usenow,Şimdi kullan
dragtarget.addundead,Savaşa ölümsüz ekle
prompt.stealcard.header,Kart çal
prompt.choosecard.header,Kart seçin
prompt.chooseplayer.header,Oyuncu Seçin
prompt.choosemanyplayers.header,Oyuncuları Seçin
prompt.killhireling.header,Yardıma geleni öldür
prompt.choosediscardpile.header,Iskartadan çekin
button.confirm,Onayla
emote.curses,Lanetler!
emote.incredible,İnanılmaz!
emote.help,Bu kadar kolay olmasaydı keşke ...
emote.unplanned,Bu planlandığı gibi gitmedi ...
emote.wellplayed,Helallllllllllsss
emote.run,Koş lan koşşşşş
prompt.general.or,veya
prompt.reportplayer.dropdown,Raporlama nedeninizi seçin
prompt.discarded,Atılan
prompt.gave,{0} 'a verildi
prompt.stole,{0} tarafından çalındı
button.distract,Dikkatini dağıtmak
kin.killnose,Burnu öldür
button.wave,Geçmek
button.scare,Booga Booga
button.bribe,Rüşvet
button.ignorefight,Kavgayı es geç
prompt.cursed,Lanetlendin
prompt.cheat.header,Hile!
button.reconnect,Yeniden bağlanmak
match.askforhelp.failed,Yardım reddedildi
playonline.error.cannotjoingame,Zaten başlamak için başka bir oyunda bekliyorsunuz.
gameoptions.endturnjumpin,Tur sonu Katılmaya izin veriyor
prompt.title.tradedfor,İçin takas edildi
prompt.used,Kullanılmış
button.mustaccept,TAMAM
prompt.sold,Satıldı
kin.deckshuffle.door,Kapı kartlarını karıştır
kin.deckshuffle.treasure,Hazine kartlarını karıştır
auto.update.body,Bir güncelleme mevcut.
auto.update.body.forced,Devam etmek için bir güncelleme gerekir.
auto.update.confirm,Güncelleme
button.reject,Reddetmek
deck.door.top,Kapı kartlarının en üstündeki
deck.treasure.top,Hazine kartlarının en üstündeki
card.type.monster.baby,Canavar - Bebek
card.type.monster.baby.undead,Canavar - Ölümsüz Bebek
prompt.looted,{0} tarafından yağmalandı
dialogmessages.addfriend.inviteexists,Bu kullanıcıya zaten davet gönderildi.
login.deleteaccountbutton,Hesabı sil
deleteaccount.confirm.message,Hesabınızı silmek istediğinizden emin misiniz?
deleteaccount.complete.message,Hesap silme işlemini tamamlamak için e -postanızı kontrol edin.
deleteaccount.failed.message,"Bir ağ hatası, hesabınızı silmenizi engelledi. Daha sonra tekrar deneyin."
playonline.error.gamefull,Bu oyun dolu.
dialogmessages.continuegame.failure.gameended,Oyun kalan insan oyuncuları olmadığı için sona erdi
kin.combat.rewards.draft.pick,Seçin [pick]: Bir kart seçin
equip.armorbig,Zırh - Büyük
equip.onehandbig,Tek el - Büyük
equip.slotlessbig,Büyük
multiplayer.gamecompleted.1,{0} ile oyununuz tamamlandı. Sonuçları görüntüle?
multiplayer.gamecompleted.2,{0} ve {1} ile oyununuz tamamlandı. Sonuçları görüntüle?
multiplayer.gamecompleted.3,"{0}, {1} ve {2} ile oyununuz tamamlandı. Sonuçları görüntüle?"
multiplayer.gamecompleted.4,"{0}, {1}, {2} ve {3} ile oyununuz tamamlandı. Sonuçları görüntüle?"
multiplayer.gamecompleted.5,"{0}, {1}, {2}, {3} ve {4} ile oyununuz tamamlandı. Sonuçları görüntüle?"
multiplayer.gamecompleted.6,"{0}, {1}, {2}, {3}, {4} ve {5} ile oyununuz tamamlandı. Sonuçları görüntüle?"
prompt.gave.too.big,{0} 'a verildi çünkü çok fazla büyük eşyaları vardı.
kin.event.revived,Yeniden canlandı.
test.ops.key,test.ops.key
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.name,Plütonyum Ejderhası
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.name,Bay Bones
base.door.51ae062a-ebff-11ec-8ea0-0242ac120002.name,Sınıfı Değiştir
base.door.2cdcfcbf-228b-46b9-851e-6d5ba05f8300.name,Irkı Değiştir
base.door.171641c6-ba97-425c-8b65-9d5a04105a04.name,Cinsiyeti değiştir
base.door.1c9f4659-bc94-4904-ad2c-7cf9b733c88c.name,Kafanda Tavuk var
base.door.4e2b9d92-2841-4ba8-ac42-8cfe1ab6b519.name,Tavuk Kıyameti
base.door.c72b235c-c758-427e-a882-e21aa0a8d351.name,RTE Laneti (Vergi)
base.door.fd91affd-27ba-4d0c-88b3-bb4313c440cf.name,Büyük bir eşyanı kaybet
base.door.1c83481f-ed9e-4e3f-9d78-72e527693ff7.name,Bir Level Kaybet
base.door.217b04bf-e9b0-4878-b1cd-4f9122239913.name,Bir Level Kaybet
base.door.d6fd9095-d91a-42f3-9004-98181b10eaf0.name,Küçük bir eşyanı kaybet
base.door.e9f354fb-0267-487b-a4dc-2709b65c870d.name,Küçük bir eşyanı kaybet
base.door.4a26cc13-09e9-4366-97f3-70a176a6c9bc.name,Zırhını kaybet
base.door.2df75f0c-19e7-42c4-b978-7d41a0042dde.name,Başlığını kaybet
base.door.4d904b4c-d13a-4112-875a-35cfceaede54.name,Ayakkağını Kaybet
base.door.be74d2ee-5455-425d-93ea-dbb443ea778a.name,İki kart kaybet
base.door.25b06508-10aa-43de-a3c7-24880b8afd72.name,Sınıfınızı kaybet
base.door.d5183d93-4f22-4aa2-a6fb-bacb6fa1d33e.name,Irkını Kaybet
base.door.e0be0f5f-0724-4d82-b577-c55ff5b74839.name,Malign Ayna
base.door.b42aff04-6ff2-41c2-af92-637b283b8ea5.name,Gerçekten iğrenç lanet!
base.door.2413c379-f721-42d6-aca8-e1fb7eb9011f.name,Din adamı
base.door.5705ed95-b87d-4cc0-9daf-f6382be734a8.name,Hırsız
base.door.7ff31d6d-05bd-4b10-bae9-fe18ba7ea087.name,Savaşçı
base.door.388e4af8-ba44-4715-9962-455838bfbe73.name,Büyücü
base.door.b1cc599b-1ab0-4980-ad9a-f99882647fb0.name,Süper munchkin
base.door.ff722a55-5407-439d-b7af-57f633e0dbf3.name,Cüce
base.door.9fa924db-5b36-4831-9f6e-de8303b001b0.name,Elf
base.door.d9952bfe-f65d-4d46-881a-7e1a2e46f06f.name,Hobbit
base.door.4e25e9b2-f39b-426e-9fc0-134d00226b98.name,Yarı Irk
base.door.a3f1f98e-27d1-4bd5-b97f-203a89114790.name,Bullrog
base.door.e93e7b43-62bd-4ab3-be4c-506c8a6a621c.name,Squidzilla
base.door.8ab95f50-2c7a-4e6b-ae43-51a51b64b5d3.name,Hipogrif
base.door.afed7786-e2e9-4ca2-a0a6-d30d6df3702b.name,King Tut
base.door.cd3f3f05-8317-450c-86e4-fd91e0c06bb4.name,Wight Brothers
base.door.af48c486-1888-4e7e-ad55-0b48d227af3c.name,Insurance Salesman
base.door.65dee751-4508-4804-8faa-b17fa9c4ed79.name,Stoned Golem
base.door.aa5584c1-fd5d-49a5-8cc0-75f3422c8e6a.name,Unspeakably Awful Indescribable Horror
base.door.37b667a1-23ac-4a5f-9427-afff2dad4705.name,Bigfoot
base.door.4977fc4f-66df-40a6-b5ca-562bb4c8b112.name,Tongue Demon
base.door.3ee0b351-54f2-4480-9aa3-380d2593e84a.name,Wannabe Vampire
base.door.55e5c91e-a987-4900-abec-0f502175288a.name,"3,872 Orcs"
base.door.db29801c-5fe4-4a6c-9e41-35752d1a36bb.name,Floating Nose
base.door.43b16c0e-49ac-4688-8db8-5737cbd50eef.name,Net Troll
base.door.3fb5c60b-98a1-4775-b7b7-7c02910732f2.name,Amazon
base.door.4d052f9a-2def-4ab8-b100-fde850b71507.name,Gazebo
base.door.88716968-ead5-4473-9db2-85b9e9f69ef0.name,Ghoulfiends
base.door.6832d810-5af2-40f9-9877-0dfe91d808f2.name,Face Sucker
base.door.79d7e37c-ad44-460e-a1e9-e65bceeaed00.name,Lawyers
base.door.ef2c8c7e-3043-46a6-ba47-c69ab67f7f2f.name,Platycore
base.door.739ed395-dbbd-4108-92c3-4cbfd317e9c5.name,Pukachu
base.door.83ddfb20-2791-40bb-ba58-c051ae2eae9c.name,Shrieking Geek
base.door.2f0b14f5-4aab-4855-b9c6-3a340349af8a.name,Harpies
base.door.4a0ad1cf-01bf-423a-9328-e983d188032f.name,Snails on Speed
base.door.f906cf16-5a1a-422c-b3fa-9ec583e54c4e.name,Snails on Speed
base.door.63df5d66-f885-4e54-94f7-2cf4e1a8b8d0.name,Undead Horse
base.door.b9d66767-ceee-47bb-a428-691cb557c716.name,Flying Frogs
base.door.cc935bfb-40a1-42c0-9c14-d89f91662971.name,Gelatinous Octahedron
base.door.53f277b6-ed4b-498d-a582-a2d31c38bf52.name,Büyük Kızgın Tavuk
base.door.93a5ec2f-ee7f-4654-a28d-fcf045fa0f97.name,Çukur
base.door.25586aec-1ac3-4b4b-9c9a-bead276efac1.name,Yengeçler
base.door.96f29253-b3f9-483f-8028-2e96e2aa519f.name,Drooling Slime
base.door.da9241e2-ed86-4ee1-9a5b-637c95598d4d.name,Lame Goblin
base.door.e013dc7b-77a6-458c-af20-30de04317cc0.name,Maul Rat
base.door.6bcc1629-aaea-409b-9dbc-7fe53576d6a6.name,Potted Plant
base.door.db4f0e50-a540-4f28-bf8c-cc3eef7d8110.name,Ancient
base.door.bf631030-1e99-4ccc-ae8f-a538a9038c0b.name,Baby
base.door.07501f59-6c5a-41fb-99be-e6b0706e001d.name,Enraged
base.door.45814a37-7d87-4333-8e69-3068628f2474.name,Humongous
base.door.b6ec7ed3-9676-42c9-a55b-f5803f12470d.name,Intelligent
base.door.b95cafbd-d581-43ff-a08b-39979135b256.name,Mate
base.door.efa6fd1e-5308-467c-ae0e-2db9ccfe211a.name,Wandering Monster
base.door.db238a1c-81ef-4b02-8bc2-4dcb50577ab3.name,Cheat!
base.door.68e54c25-7e83-4c13-ab9a-13d1381d5850.name,İlahi müdahale
base.door.8cf2ebf1-610d-448e-a5f6-76f4c73d8176.name,Bana yardım et!
base.door.04774ddc-83e9-48a2-b1ed-3ae630e511b3.name,İllüzyon
base.door.47b91b62-624d-4543-a0da-50e55cf47a56.name,Öğle yemeğine
base.door.50de36e5-d3ba-4bd6-abe2-694c8f1c2d7e.text,Level 5 veya daha düşük olan kimseyi takip etmeyecektir.
base.door.278b4940-f066-4019-a0e5-4f9a5cc09f0e.text,"Eğer kaçmanız gerekiyorsa, kaçsanız bile bir level kaybedersiniz."
base.door.51ae062a-ebff-11ec-8ea0-0242ac120002.text,"Sınıfınız yoksa, bu lanetin bir etkisi yoktur. Iskartaya gidin en üstten başlayarak bir sınıf kartı bulana karta kartlara bakın bulduğunuz ilk kart sizin yeni sınıfınız olacak eğer bir kart bulamazsanız sınıfınız kaybedin."
base.door.2cdcfcbf-228b-46b9-851e-6d5ba05f8300.text,"Şimdi Irkınız yoksa, bu lanetin bir etkisi yok. Iskartaya gidin en üstten başlayarak bir ırk kartı bulana karta kartlara bakın bulduğunuz ilk kart sizin yeni ırkınız olacak eğer bir kart bulamazsanız ırkınızı kaybedin."
base.door.171641c6-ba97-425c-8b65-9d5a04105a04.text,Dikkat dağınıklığı nedeniyle bir sonraki savaşınıza -5 güç kaybedersiniz. Savaştan sonra cezanız kalkar ancak değişiklik kalıcıdır.
base.door.1c9f4659-bc94-4904-ad2c-7cf9b733c88c.text,Tüm kaçış zar atışlarınıza -1. Başlığınızı kaldıran herhangi bir lanet veya kötü şey tavuğu yanına alacaktır.
base.door.4e2b9d92-2841-4ba8-ac42-8cfe1ab6b519.text,Zindandan ördek almaman gerektiğini bilmelisin. İki Level kaybet.
base.door.c72b235c-c758-427e-a882-e21aa0a8d351.text,"Seçtiğiniz bir itemı atın. Diğer her oyuncu artık bir itemi veya itemleri attığınız item kadar değer vermelidir. Tüm vergiyi ödemek için yeterli yoksa, tüm eşyalarını atmalı ve bir Leveli kaybetmelidirler."
base.door.fd91affd-27ba-4d0c-88b3-bb4313c440cf.text,Atmak için büyük bir item seçin.
base.door.1c83481f-ed9e-4e3f-9d78-72e527693ff7.text,Levelini kaybedersin
base.door.d6fd9095-d91a-42f3-9004-98181b10eaf0.text,Atmak için küçük bir item seçin. Büyük olarak adlandırılmayan herhangi bir ürün küçüktür.
base.door.4a26cc13-09e9-4366-97f3-70a176a6c9bc.text,Giydiğin zırhı kaybet
base.door.2df75f0c-19e7-42c4-b978-7d41a0042dde.text,Giydiğin başlığı kaybet
base.door.4d904b4c-d13a-4112-875a-35cfceaede54.text,Giydiğin ayakkabıyı kaybet
base.door.be74d2ee-5455-425d-93ea-dbb443ea778a.text,İlk olarak kurbanın sırayla sipariş verdikten sonra kurbanın elinden bir kart çeker ve onu korur. Sonra kurbanın önünde oyuncu sırayla aynı şeyi yapar.
base.door.25b06508-10aa-43de-a3c7-24880b8afd72.text,"Varsa sınıf kartınızı atın. Oyunda iki sınıfınız varsa, bunlardan birini kaybedin (sizin seçiminiz). Sınıfınız yoksa, bir Level kaybedin."
base.door.d5183d93-4f22-4aa2-a6fb-bacb6fa1d33e.text,Oyunda sahip olduğunuz Irkları atın ve insan olun.
base.door.e0be0f5f-0724-4d82-b577-c55ff5b74839.text,"Lanetlisin! Bir sonraki dövüşünüzde (sadece), zırh dışındaki eşyalardan herhangi bir bonus alamayabilirsiniz. Bir sonraki dövüşten önce kullanılan bir dilek yüzüğü laneti kaldıracaktır."
base.door.b42aff04-6ff2-41c2-af92-637b283b8ea5.text,Size en büyük bonusu veren itemi kaybedin
